sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,cultivo,estado
55.0,55.0,0.0,53.9,18.612271,-97.118881,2380.0,0,0,1,0,1,0,1,0,0,0,2,0.98,Frijol,Veracruz
180.0,180.0,0.0,64.22,17.054436,-96.065106,2065.0,0,0,1,0,1,0,1,0,0,0,2,0.36,Frijol,Oaxaca
60.0,60.0,0.0,1032.0,22.432478,-102.249249,1983.0,0,0,1,1,0,1,0,0,0,0,0,17.2,Avena forrajera en verde,Zacatecas
74.33,74.33,0.0,57.23,17.409167,-99.240833,860.0,1,0,0,1,0,0,1,0,0,0,5,0.77,Frijol,Guerrero
295.0,295.0,0.0,185.0,17.104639000000002,-97.541124,2071.0,0,0,1,0,1,0,0,1,0,0,6,0.63,Maíz grano,Oaxaca
20.0,20.0,0.0,48.0,19.983579,-102.285958,1562.0,0,0,1,1,0,0,1,0,0,0,2,2.4,Frijol,Michoacán
151.0,151.0,0.0,186.2,17.335972,-96.165047,1227.0,0,0,1,0,1,0,0,1,0,0,6,1.23,Maíz grano,Oaxaca
27.0,27.0,0.0,55.26,20.116894,-102.565513,1528.0,0,0,1,1,0,0,1,0,0,0,2,2.05,Frijol,Michoacán
20.0,20.0,0.0,207.0,22.835051,-105.777876,22.0,1,0,0,1,0,0,0,1,0,0,5,10.35,Maíz grano,Sinaloa
72.0,72.0,0.0,195.05,16.666444,-96.301907,932.0,0,0,1,1,0,0,0,1,0,0,5,2.71,Maíz grano,Oaxaca
40.0,40.0,0.0,750.0,18.28699,-99.466694,832.0,0,1,0,0,1,0,0,0,1,0,3,18.75,Pastos y praderas,Guerrero
