sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,cultivo,estado
1.35,1.35,0.0,104.49,16.997513,-96.01012,1842.0,0,0,1,1,0,0,0,0,0,1,4,77.4,Tomate rojo (jitomate),Oaxaca
50.0,50.0,0.0,1600.0,27.694963,-105.17162,1223.0,1,0,0,1,0,0,0,0,1,0,5,32.0,Pastos y praderas,Chihuahua
75.0,75.0,0.0,1725.0,19.470014000000006,-99.594906,2685.0,0,1,0,0,1,0,0,0,1,0,3,23.0,Pastos y praderas,México
37.0,37.0,0.0,77.7,20.431795,-101.725044,1770.0,0,0,1,1,0,0,1,0,0,0,2,2.1,Frijol,Guanajuato
230.0,230.0,0.0,1840.0,20.904013,-100.713381,2028.0,0,0,1,0,1,1,0,0,0,0,0,8.0,Avena forrajera en verde,Guanajuato
27.0,27.0,0.0,1055.7,28.983929,-109.400396,446.0,1,0,0,1,0,1,0,0,0,0,0,39.1,Avena forrajera en verde,Sonora
320.0,320.0,0.0,233.6,18.614263,-98.0799,1491.0,0,0,1,0,1,0,0,1,0,0,6,0.73,Maíz grano,Puebla
82.0,82.0,0.0,1558.0,18.958715,-98.752598,2400.0,0,0,1,0,1,1,0,0,0,0,0,19.0,Avena forrajera en verde,México
5.0,5.0,0.0,110.56,25.543234,-100.950782,1393.0,0,0,1,1,0,0,0,0,0,1,4,22.11,Tomate rojo (jitomate),Coahuila
46.0,46.0,0.0,851.0,19.619833,-100.285511,2579.0,1,0,0,1,0,1,0,0,0,0,0,18.5,Avena forrajera en verde,Michoacán
0.63,0.63,0.0,122.85,16.804263,-96.722414,1467.0,1,0,0,1,0,0,0,0,0,1,4,195.0,Tomate rojo (jitomate),Oaxaca
171.0,171.0,0.0,201.78,17.293120000000002,-96.431628,1999.0,0,0,1,0,1,0,0,1,0,0,6,1.18,Maíz grano,Oaxaca
98.0,98.0,0.0,1617.0,18.952342,-99.497565,1765.0,0,1,0,0,1,0,0,0,1,0,3,16.5,Pastos y praderas,México
70.0,70.0,0.0,239.0,19.484989,-98.256542,2581.0,0,0,1,1,0,0,0,1,0,0,5,3.41,Maíz grano,Tlaxcala
73.0,73.0,0.0,1059.96,19.623603,-97.81657,2111.0,1,0,0,0,1,1,0,0,0,0,0,14.52,Avena forrajera en verde,Puebla
48.0,48.0,0.0,201.6,19.504051,-96.616881,245.0,1,0,0,1,0,0,0,1,0,0,5,4.2,Maíz grano,Veracruz
250.0,250.0,0.0,203.0,18.253598,-92.090902,-5.0,1,0,0,0,1,0,0,1,0,0,1,0.81,Maíz grano,Campeche
419.0,126.0,293.0,76.82,20.484868,-99.218774,1682.0,0,0,1,0,1,0,1,0,0,0,2,0.61,Frijol,Hidalgo
84.0,84.0,0.0,57.96,19.690924,-97.146117,1350.0,0,0,1,0,1,0,1,0,0,0,2,0.69,Frijol,Veracruz
335.0,135.0,200.0,68.85,17.802861,-97.341655,2025.0,0,0,1,0,1,0,1,0,0,0,2,0.51,Frijol,Oaxaca
8.0,8.0,0.0,131.2,18.032564,-96.913721,1140.0,1,0,0,1,0,0,0,0,0,1,4,16.4,Tomate rojo (jitomate),Oaxaca
51.0,51.0,0.0,183.6,18.198756,-98.260145,1108.0,1,0,0,1,0,0,0,1,0,0,5,3.6,Maíz grano,Puebla
52.0,52.0,0.0,2152.8,21.1592,-100.917236,1932.0,0,1,0,1,0,0,0,0,1,0,3,41.4,Pastos y praderas,Guanajuato
150.0,150.0,0.0,66.0,19.827787,-98.900891,2344.0,0,0,1,0,1,0,1,0,0,0,2,0.44,Frijol,México
119.0,119.0,0.0,1519.56,28.308418,-100.378726,220.0,0,1,0,0,1,0,0,0,1,0,3,12.77,Pastos y praderas,Coahuila
31.0,31.0,0.0,202.99,32.641176,-115.475579,1.0,1,0,0,1,0,0,0,1,0,0,5,6.55,Maíz grano,Baja California
24.0,24.0,0.0,1020.0,19.496252,-101.332851,2075.0,0,1,0,1,0,0,0,0,1,0,3,42.5,Pastos y praderas,Michoacán
235.0,235.0,0.0,153.52,21.2802,-88.929757,5.0,0,0,1,0,1,0,0,1,0,0,6,0.65,Maíz grano,Yucatán
88.0,88.0,0.0,1716.0,19.988704,-101.275853,1846.0,1,0,0,1,0,1,0,0,0,0,0,19.5,Avena forrajera en verde,Michoacán
0.65,0.65,0.0,139.75,16.340638000000002,-96.71761,1606.0,0,0,1,1,0,0,0,0,0,1,4,215.0,Tomate rojo (jitomate),Oaxaca
0.85,0.85,0.0,79.9,19.559339,-98.913348,2242.0,0,0,1,1,0,0,0,0,0,1,4,94.0,Tomate rojo (jitomate),México
46.5,46.5,0.0,930.0,20.860092,-90.399464,1.0,0,1,0,1,0,0,0,0,1,0,3,20.0,Pastos y praderas,Yucatán
296.0,296.0,0.0,1272.8,32.363684,-117.054459,25.0,1,0,0,0,1,1,0,0,0,0,0,4.3,Avena forrajera en verde,Baja California
147.0,147.0,0.0,205.8,19.593106,-96.989558,1820.0,0,0,1,0,1,0,0,1,0,0,6,1.4,Maíz grano,Veracruz
58.0,58.0,0.0,234.27,19.6,-103.914444,737.0,1,0,0,1,0,0,0,1,0,0,5,4.04,Maíz grano,Jalisco
256.0,256.0,0.0,184.32,21.986537,-99.018721,83.0,1,0,0,0,1,0,0,1,0,0,1,0.72,Maíz grano,San Luis Potosí
40.0,40.0,0.0,164.8,19.089347,-98.27331,2151.0,0,0,1,1,0,0,0,1,0,0,5,4.12,Maíz grano,Puebla
7.5,7.5,0.0,79.57,17.13637,-100.468668,5.0,0,0,1,0,1,0,0,0,0,1,4,10.61,Tomate rojo (jitomate),Guerrero
58.0,58.0,0.0,226.2,21.910136,-101.38337,2177.0,0,0,1,1,0,0,0,1,0,0,5,3.9,Maíz grano,San Luis Potosí
35.0,35.0,0.0,1481.2,25.03908,-105.420945,1730.0,1,0,0,1,0,0,0,0,1,0,5,42.32,Pastos y praderas,Durango
72.0,72.0,0.0,1576.8,20.6432,-100.994037,1755.0,1,0,0,1,0,1,0,0,0,0,0,21.9,Avena forrajera en verde,Guanajuato
60.0,60.0,0.0,52.8,18.424615,-95.112339,363.0,1,0,0,0,1,0,1,0,0,0,1,0.88,Frijol,Veracruz
98.0,98.0,0.0,226.38,28.347222,-100.854167,378.0,0,0,1,1,0,0,0,1,0,0,5,2.31,Maíz grano,Coahuila
58.0,58.0,0.0,1491.76,18.705494,-97.775077,1902.0,0,0,1,1,0,1,0,0,0,0,0,25.72,Avena forrajera en verde,Puebla
65.0,65.0,0.0,193.7,16.866685999999998,-96.785633,1499.0,1,0,0,1,0,0,0,1,0,0,5,2.98,Maíz grano,Oaxaca
26.0,26.0,0.0,845.0,21.932378,-99.992923,991.0,1,0,0,1,0,1,0,0,0,0,0,32.5,Avena forrajera en verde,San Luis Potosí
132.0,132.0,0.0,59.4,21.017114000000007,-98.348187,158.0,1,0,0,0,1,0,1,0,0,0,1,0.45,Frijol,Hidalgo
93.0,93.0,0.0,2352.9,21.050587,-104.484664,986.0,0,1,0,1,0,0,0,0,1,0,3,25.3,Pastos y praderas,Nayarit
149.0,149.0,0.0,190.4,17.337631,-96.114573,1607.0,0,0,1,0,1,0,0,1,0,0,6,1.28,Maíz grano,Oaxaca
8.47,8.47,0.0,141.79,17.714089,-98.934908,1477.0,1,0,0,1,0,0,0,0,0,1,4,16.74,Tomate rojo (jitomate),Guerrero
58.0,58.0,0.0,55.1,18.595618,-96.992734,1650.0,0,0,1,0,1,0,1,0,0,0,2,0.95,Frijol,Veracruz
100.0,100.0,0.0,169.0,20.423744,-98.028684,870.0,1,0,0,0,1,0,0,1,0,0,1,1.69,Maíz grano,Puebla
